E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
2.18167,1.75329,1.66701,-0.521116,-0.370287,1.53956,1.02456,0.336114,-0.0976382,0.216468
1.5616,1.51844,1.26521,-0.465556,-0.0722166,1.17423,1.1915,0.504537,-0.0278271,0.53291
2.81817,2.64686,2.57364,0.182371,0.655725,2.48201,1.01149,-0.11692,-0.323861,0.155578
3.12739,1.76759,1.71582,0.482602,-0.0015244,1.64655,0.990044,0.0347798,0.175123,0.26068
1.41448,1.37108,1.24418,-0.338809,0.10426,1.19261,1.06517,0.413746,-0.25469,0.134871
1.62641,1.58502,1.45666,0.191384,-0.364738,1.39721,1.06663,-0.226465,0.367675,0.266225
2.57946,2.29304,1.90522,-0.36265,-0.687181,1.73958,1.32609,0.459575,0.662939,0.476934
1.45385,1.41028,1.33979,0.146634,-0.329405,1.29036,1.00876,-0.241946,0.279839,-0.0200211
1.77245,1.73112,1.42382,0.144355,0.73121,1.21316,1.24557,-0.1134,-0.667354,0.461377
2.53801,2.49363,1.99588,0.340482,0.512292,1.89873,1.43602,-0.313335,-0.582343,0.862846
1.56707,1.52591,1.41209,0.1555,0.43978,1.33283,1.05209,-0.180672,-0.405895,0.170704
3.78568,3.74219,2.73314,1.11025,0.370481,2.46984,1.94733,-1.02359,-0.57091,1.24018
1.3188,1.27612,1.19786,0.0562107,0.34709,1.14509,1.01653,-0.137276,-0.365025,0.0299125
2.10027,2.0583,1.98128,-0.506303,0.233692,1.90119,1.01529,0.332864,-0.140361,0.141269
1.33461,1.29343,1.21013,0.165217,-0.373858,1.13902,1.02157,-0.091764,0.34444,0.190225
3.42027,2.32925,2.06936,0.122718,-0.556069,1.98947,1.19816,0.0166181,0.588403,0.456879
2.18442,2.1406,1.98999,-0.464075,0.377838,1.89787,1.08888,0.237896,-0.323705,0.379382
2.08588,2.04335,1.78429,-0.461819,-0.296617,1.69777,1.19733,0.412251,0.312837,0.534264
1.53707,1.29233,1.24425,0.550668,-0.157418,1.1046,0.986348,0.248422,-0.157303,0.0779179
2.36831,2.32501,1.99233,-0.524669,-0.133248,1.91738,1.27096,0.553505,0.174264,0.631067
2.03668,1.86606,1.60716,-0.462236,-0.0598472,1.53809,1.19717,0.412891,0.237439,0.570972
1.20509,1.16168,1.10408,-0.231753,-0.199613,1.06087,0.995864,0.141937,0.302052,0.00305505
2.31745,1.65065,1.45994,-0.404782,0.115461,1.39795,1.12898,0.591172,0.0540015,0.204525
